time,open,high,low,close,volume
1531112400,110.446,110.478,110.432,110.448,358
1531116000,110.446,110.522,110.414,110.499,807
1531119600,110.496,110.544,110.396,110.404,705
1531123200,110.406,110.478,110.388,110.469,513
1531126800,110.471,110.519,110.439,110.452,400
1531130400,110.449,110.483,110.436,110.438,319
1531134000,110.44,110.452,110.412,110.45,262
1531137600,110.452,110.495,110.426,110.495,328
1531141200,110.498,110.68,110.49,110.678,876
1531144800,110.675,110.738,110.628,110.718,990
1531148400,110.72,110.808,110.708,110.797,540
1531152000,110.794,110.849,110.748,110.822,570
1531155600,110.824,110.902,110.786,110.808,661
1531159200,110.81,110.858,110.782,110.82,441
1531162800,110.818,110.847,110.782,110.839,371
1531166400,110.837,110.846,110.808,110.846,304
1531170000,110.811,110.857,110.8,110.848,348
1531173600,110.851,110.894,110.833,110.872,272
1531177200,110.874,110.98,110.861,110.956,444
1531180800,110.958,111.04,110.923,111.02,1188
1531184400,111.017,111.055,110.95,111.017,969
1531188000,111.014,111.048,111.0,111.032,366
1531191600,111.03,111.09,111.012,111.086,349
1531195200,111.084,111.167,111.076,111.162,500
1531198800,111.16,111.204,111.136,111.161,452
1531202400,111.158,111.161,111.028,111.059,665
1531206000,111.057,111.12,111.048,111.08,598
1531209600,111.078,111.152,111.056,111.146,527
1531213200,111.149,111.278,111.144,111.256,468
1531216800,111.254,111.32,111.223,111.317,500
1531220400,111.315,111.353,111.258,111.261,448
1531224000,111.264,111.27,111.164,111.208,606
1531227600,111.21,111.28,111.178,111.272,587
1531231200,111.275,111.314,111.226,111.244,737
1531234800,111.242,111.269,111.197,111.246,811
1531238400,111.248,111.314,111.248,111.273,606
1531242000,111.27,111.325,111.208,111.213,649
1531245600,111.21,111.3,111.203,111.294,344
1531249200,111.296,111.298,111.25,111.275,350
1531252800,111.273,111.28,110.954,110.996,929
1531256400,110.968,111.004,110.854,110.993,1625
1531260000,110.99,111.023,110.799,110.842,1977
1531263600,110.838,110.933,110.821,110.852,1156
1531267200,110.854,110.94,110.839,110.846,1252
1531270800,110.849,111.006,110.77,110.994,1820
1531274400,110.996,111.145,110.964,111.078,1517
1531278000,111.076,111.112,111.038,111.086,685
1531281600,111.09,111.124,110.998,111.026,817
1531285200,111.028,111.082,111.01,111.069,727
1531288800,111.066,111.092,110.954,110.986,967
1531292400,110.984,111.058,110.96,111.012,1014
1531296000,111.01,111.162,110.994,111.162,659
1531299600,111.165,111.232,111.164,111.202,760
1531303200,111.204,111.274,111.184,111.255,539
1531306800,111.258,111.277,111.188,111.226,451
1531310400,111.224,111.307,110.976,111.13,2013
1531314000,111.127,111.243,111.124,111.202,1680
1531317600,111.197,111.308,111.168,111.284,1272
1531321200,111.288,111.64,111.261,111.528,2350
1531324800,111.526,111.953,111.508,111.894,1587
1531328400,111.896,112.05,111.873,112.0,1897
1531332000,111.998,112.174,111.94,112.043,2695
1531335600,112.041,112.07,111.982,112.055,1114
1531339200,112.052,112.058,111.981,112.011,681
1531342800,111.994,112.03,111.92,111.932,388
1531346400,111.93,112.015,111.918,111.944,1132
1531350000,111.942,111.989,111.924,111.98,695
1531353600,111.982,112.174,111.966,112.136,1438
1531357200,112.138,112.352,112.069,112.246,1762
1531360800,112.248,112.304,112.24,112.258,713
1531364400,112.26,112.382,112.24,112.258,736
1531368000,112.26,112.286,112.194,112.194,405
1531371600,112.196,112.308,112.171,112.298,793
