time,open,high,low,close,volume
1616360400,108.666,108.957,108.596,108.845,51837
1616446800,108.841,108.874,108.406,108.584,60375
1616533200,108.612,108.957,108.452,108.738,52057
1616619600,108.726,109.238,108.726,109.186,56965
1616706000,109.188,109.849,109.131,109.682,57945
1616965200,109.734,109.846,109.374,109.795,53338
1617051600,109.783,110.428,109.75,110.36,57585
1617138000,110.367,110.966,110.275,110.697,76076
1617224400,110.723,110.849,110.546,110.617,56811
1617310800,110.609,110.752,110.374,110.675,38785
1617570000,110.658,110.751,109.961,110.177,47252
1617656400,110.19,110.553,109.668,109.752,68123
1617742800,109.765,109.942,109.578,109.855,68228
1617829200,109.846,109.904,108.999,109.261,58045
1617915600,109.252,109.962,109.213,109.672,57040
1618174800,109.714,109.793,109.246,109.374,50555
1618261200,109.382,109.753,109.019,109.061,68419
1618347600,109.068,109.096,108.752,108.917,55794
1618434000,108.951,108.974,108.612,108.764,52943
1618520400,108.754,108.966,108.612,108.802,45738
1618779600,108.786,108.836,108.008,108.166,67437
1618866000,108.153,108.55,107.972,108.113,60616
1618952400,108.128,108.284,107.875,108.078,51177
1619038800,108.061,108.232,107.814,107.98,58932
1619125200,107.984,108.147,107.478,107.866,60408
1619384400,107.939,108.198,107.644,108.08,62541
1619470800,108.085,108.775,108.08,108.702,56842
1619557200,108.673,109.08,108.572,108.578,72280
1619643600,108.574,109.23,108.434,108.929,61493
1619730000,108.926,109.378,108.714,109.3,63820
1619989200,109.292,109.698,108.895,109.078,54774
1620075600,109.093,109.488,109.029,109.376,77006
1620162000,109.356,109.482,109.144,109.227,51132
1620248400,109.213,109.429,109.001,109.086,67616
1620334800,109.091,109.29,108.336,108.615,83297
1620594000,108.617,109.056,108.469,108.811,69019
1620680400,108.82,108.984,108.348,108.625,73540
1620766800,108.619,109.71,108.595,109.706,84856
1620853200,109.652,109.787,109.406,109.474,73094
1620939600,109.479,109.656,109.188,109.345,56215
1621198800,109.3,109.503,109.074,109.164,55794
1621285200,109.232,109.386,108.834,108.895,55021
1621371600,108.89,109.336,108.572,109.219,84261
1621458000,109.235,109.309,108.748,108.782,56487
1621544400,108.769,109.005,108.613,108.901,52511
1621803600,108.927,108.996,108.696,108.763,54906
1621890000,108.742,109.074,108.56,108.778,71132
1621976400,108.774,109.18,108.725,109.148,62226
1622062800,109.13,109.925,109.038,109.842,76122
1622149200,109.796,110.201,109.744,109.859,69491
1622408400,109.815,109.938,109.353,109.584,38652
1622494800,109.588,109.708,109.329,109.494,58507
1622581200,109.482,109.885,109.387,109.572,60527
1622667600,109.565,110.321,109.55,110.31,62923
1622754000,110.286,110.332,109.365,109.511,67791
1623013200,109.515,109.638,109.19,109.254,54839
1623099600,109.246,109.559,109.2,109.49,58288
1623186000,109.5,109.659,109.225,109.638,49309
1623272400,109.629,109.798,109.307,109.326,68776
1623358800,109.322,109.844,109.31,109.654,50911
1623618000,109.638,110.1,109.612,110.074,51123
1623704400,110.064,110.168,109.988,110.065,51570
1623790800,110.083,110.722,109.804,110.716,69956
1623877200,110.66,110.824,110.167,110.234,87115
1623963600,110.225,110.486,109.942,110.224,96038
1624222800,110.224,110.355,109.718,110.328,90637
1624309200,110.284,110.792,110.212,110.676,56290
1624395600,110.65,111.106,110.625,110.955,60652
1624482000,110.954,111.116,110.686,110.888,59901
1624568400,110.872,110.985,110.48,110.765,57393
1624827600,110.785,110.978,110.498,110.62,55237
1624914000,110.629,110.76,110.43,110.545,61681
1625000400,110.532,111.122,110.42,111.107,67530
1625086800,111.111,111.64,111.028,111.526,61551
1625173200,111.52,111.66,110.952,111.024,73117
1625432400,110.985,111.191,110.797,110.994,42271
